YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA PLANTED, LONG GRAIN in ACRES","AREA PLANTED, MEDIUM GRAIN in ACRES","AREA PLANTED, SHORT GRAIN in ACRES","AREA PLANTED in ACRES","AREA HARVESTED, LONG GRAIN in ACRES","AREA HARVESTED, MEDIUM GRAIN in ACRES","AREA HARVESTED in ACRES","AREA HARVESTED, SHORT GRAIN in ACRES","PRODUCTION in $","PRODUCTION, SHORT GRAIN in CWT","PRODUCTION, LONG GRAIN in CWT","PRODUCTION in CWT","PRODUCTION, MEDIUM GRAIN in CWT","YIELD, SHORT GRAIN in LB / ACRE","YIELD, MEDIUM GRAIN in LB / ACRE","YIELD, LONG GRAIN in LB / ACRE","YIELD in LB / ACRE","PRICE RECEIVED in $ / CWT","PRICE RECEIVED, MEDIUM-SHORT GRAIN in $ / CWT","PRICE RECEIVED, LONG GRAIN in $ / CWT","YIELD in LB / NET PLANTED ACRE"
1919,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","7,000"," "," "," "," ","59,000"," "," "," "," ",842," "," "," "," "
1920,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","162,000"," "," "," "," ","3,718,000"," "," "," "," ","2,295"," "," "," "," "
1920,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","180,000"," "," "," "," ","3,969,000"," "," "," "," ","2,205"," "," "," "," "
1920,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","676,000"," "," "," "," ","11,256,000"," "," "," "," ","1,665"," "," "," "," "
1920,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","281,000"," "," "," "," ","4,299,000"," "," "," "," ","1,530"," "," "," "," "
1921,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","549,000"," "," "," "," ","8,326,000"," "," "," "," ","1,516"," "," "," "," "
1921,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","135,000"," "," "," "," ","3,280,000"," "," "," "," ","2,430"," "," "," "," "
1921,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","166,000"," "," "," "," ","2,697,000"," "," "," "," ","1,625"," "," "," "," "
1921,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","140,000"," "," "," "," ","3,370,000"," "," "," "," ","2,408"," "," "," "," "
1922,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","195,000"," "," "," "," ","3,071,000"," "," "," "," ","1,575"," "," "," "," "
1922,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","140,000"," "," "," "," ","3,465,000"," "," "," "," ","2,475"," "," "," "," "
1922,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","163,000"," "," "," "," ","3,521,000"," "," "," "," ","2,160"," "," "," "," "
1922,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","555,000"," "," "," "," ","8,691,000"," "," "," "," ","1,566"," "," "," "," "
1923,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","474,000"," "," "," "," ","7,146,000"," "," "," "," ","1,508"," "," "," "," "
1923,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","106,000"," "," "," "," ","2,552,000"," "," "," "," ","2,408"," "," "," "," "
1923,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","151,000"," "," "," "," ","2,718,000"," "," "," "," ","1,800"," "," "," "," "
1923,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","143,000"," "," "," "," ","2,541,000"," "," "," "," ","1,777"," "," "," "," "
1924,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","430,000"," "," "," "," ","6,773,000"," "," "," "," ","1,575"," "," "," "," "
1924,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","90,000"," "," "," "," ","1,964,000"," "," "," "," ","2,182"," "," "," "," "
1924,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","151,000"," "," "," "," ","2,718,000"," "," "," "," ","1,800"," "," "," "," "
1924,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," "," "," "," ","1,000"," "," "," "," ","22,000"," "," "," "," ","2,250"," "," "," "," "
1924,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","166,000"," "," "," "," ","3,212,000"," "," "," "," ","1,935"," "," "," "," "
1925,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","103,000"," "," "," "," ","2,160,000"," "," "," "," ","2,097"," "," "," "," "
1925,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","414,000"," "," "," "," ","6,371,000"," "," "," "," ","1,539"," "," "," "," "
1925,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","156,000"," "," "," "," ","2,794,000"," "," "," "," ","1,791"," "," "," "," "
1925,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," "," "," "," ","4,000"," "," "," "," ","135,000"," "," "," "," ","3,375"," "," "," "," "
1925,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","176,000"," "," "," "," ","3,406,000"," "," "," "," ","1,935"," "," "," "," "
1926,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","169,000"," "," "," "," ","3,080,000"," "," "," "," ","1,822"," "," "," "," "
1926,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," "," "," "," ","10,000"," "," "," "," ","274,000"," "," "," "," ","2,745"," "," "," "," "
1926,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","492,000"," "," "," "," ","7,306,000"," "," "," "," ","1,485"," "," "," "," "
1926,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","149,000"," "," "," "," ","3,594,000"," "," "," "," ","2,412"," "," "," "," "
1926,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","196,000"," "," "," "," ","4,657,000"," "," "," "," ","2,376"," "," "," "," "
1927,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","160,000"," "," "," "," ","4,032,000"," "," "," "," ","2,520"," "," "," "," "
1927,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","179,000"," "," "," "," ","3,464,000"," "," "," "," ","1,935"," "," "," "," "
1927,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","165,000"," "," "," "," ","3,579,000"," "," "," "," ","2,169"," "," "," "," "
1927,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," "," "," "," ","3,000"," "," "," "," ","34,000"," "," "," "," ","1,125"," "," "," "," "
1927,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","520,000"," "," "," "," ","8,915,000"," "," "," "," ","1,714"," "," "," "," "
1928,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," "," "," "," ","132,000"," "," "," "," ","3,677,000"," "," "," "," ","2,786"," "," "," "," "
1928,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","495,000"," "," "," "," ","8,487,000"," "," "," "," ","1,715"," "," "," "," "
1928,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","162,000"," "," "," "," ","3,652,000"," "," "," "," ","2,254"," "," "," "," "
1928,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," "," "," "," ","10,000"," "," "," "," ","180,000"," "," "," "," ","1,800"," "," "," "," "
1928,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," "," "," "," ","173,000"," "," "," "," ","3,729,000"," "," "," "," ","2,156"," "," "," "," "
1929,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","156,000"," "," ","156,000"," "," "," "," ","3,580,000"," "," "," "," ","2,295"," "," "," "," "
1929,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","95,000"," "," ","95,000"," "," "," "," ","2,574,000"," "," "," "," ","2,709"," "," "," "," "
1929,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","465,000"," "," ","465,000"," "," "," "," ","8,474,000"," "," "," "," ","1,822"," "," "," "," "
1929,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","144,000"," "," ","144,000"," "," "," "," ","3,162,000"," "," "," "," ","2,196"," "," "," "," "
1930,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","491,000"," "," ","491,000"," "," "," "," ","8,617,000"," "," "," "," ","1,755"," "," "," "," "
1930,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","110,000"," "," ","110,000"," "," "," "," ","3,272,000"," "," "," "," ","2,974"," "," "," "," "
1930,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","173,000"," "," ","173,000"," "," "," "," ","3,698,000"," "," "," "," ","2,138"," "," "," "," "
1930,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","192,000"," "," ","192,000"," "," "," "," ","4,631,000"," "," "," "," ","2,412"," "," "," "," "
1931,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","125,000"," "," ","125,000"," "," "," "," ","3,712,000"," "," "," "," ","2,970"," "," "," "," "
1931,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","177,000"," "," ","177,000"," "," "," "," ","4,381,000"," "," "," "," ","2,475"," "," "," "," "
1931,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","205,000"," "," ","205,000"," "," "," "," ","4,769,000"," "," "," "," ","2,326"," "," "," "," "
1931,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","458,000"," "," ","458,000"," "," "," "," ","7,214,000"," "," "," "," ","1,575"," "," "," "," "
1932,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","110,000"," "," ","110,000"," "," "," "," ","3,510,000"," "," "," "," ","3,191"," "," "," "," "
1932,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","415,000"," "," ","415,000"," "," "," "," ","7,377,000"," "," "," "," ","1,777"," "," "," "," "
1932,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","186,000"," "," ","186,000"," "," "," "," ","4,101,000"," "," "," "," ","2,205"," "," "," "," "
1932,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","163,000"," "," ","163,000"," "," "," "," ","3,741,000"," "," "," "," ","2,295"," "," "," "," "
1933,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","108,000"," "," ","108,000"," "," "," "," ","3,110,000"," "," "," "," ","2,880"," "," "," "," "
1933,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","148,000"," "," ","148,000"," "," "," "," ","3,304,000"," "," "," "," ","2,232"," "," "," "," "
1933,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","147,000"," "," ","147,000"," "," "," "," ","3,241,000"," "," "," "," ","2,205"," "," "," "," "
1933,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","395,000"," "," ","395,000"," "," "," "," ","7,288,000"," "," "," "," ","1,845"," "," "," "," "
1934,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","141,000"," "," ","141,000"," "," "," "," ","2,995,000"," "," "," "," ","2,124"," "," "," "," "
1934,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","148,000"," "," ","148,000"," "," "," "," ","3,316,000"," "," "," "," ","2,241"," "," "," "," "
1934,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","415,000"," "," ","415,000"," "," "," "," ","7,545,000"," "," "," "," ","1,818"," "," "," "," "
1934,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","108,000"," "," ","108,000"," "," "," "," ","3,715,000"," "," "," "," ","3,440"," "," "," "," "
1935,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","138,000"," "," ","138,000"," "," "," "," ","2,732,000"," "," "," "," ","1,980"," "," "," "," "
1935,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","412,000"," "," ","412,000"," "," "," "," ","7,783,000"," "," "," "," ","1,889"," "," "," "," "
1935,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","167,000"," "," ","167,000"," "," "," "," ","3,908,000"," "," "," "," ","2,340"," "," "," "," "
1935,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","100,000"," "," ","100,000"," "," "," "," ","3,330,000"," "," "," "," ","3,330"," "," "," "," "
1936,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","160,000"," "," ","160,000"," "," "," "," ","3,938,000"," "," "," "," ","2,462"," "," "," "," "
1936,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","138,000"," "," ","138,000"," "," "," "," ","4,223,000"," "," "," "," ","3,060"," "," "," "," "
1936,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","204,000"," "," ","204,000"," "," "," "," ","4,774,000"," "," "," "," ","2,340"," "," "," "," "
1936,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","479,000"," "," ","479,000"," "," "," "," ","9,484,000"," "," "," "," ","1,980"," "," "," "," "
1937,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","261,000"," "," ","261,000"," "," "," "," ","5,872,000"," "," "," "," ","2,250"," "," "," "," "
1937,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","189,000"," "," ","189,000"," "," "," "," ","4,763,000"," "," "," "," ","2,520"," "," "," "," "
1937,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","517,000"," "," ","517,000"," "," "," "," ","9,306,000"," "," "," "," ","1,800"," "," "," "," "
1937,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","149,000"," "," ","132,000"," "," "," "," ","4,099,000"," "," "," "," ","3,105"," "," "," "," "
1938,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","494,000"," "," ","494,000"," "," "," "," ","9,336,000"," "," "," "," ","1,890"," "," "," "," "
1938,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","189,000"," "," ","189,000"," "," "," "," ","4,372,000"," "," "," "," ","2,313"," "," "," "," "
1938,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","268,000"," "," ","268,000"," "," "," "," ","6,151,000"," "," "," "," ","2,295"," "," "," "," "
1938,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","125,000"," "," ","125,000"," "," "," "," ","3,769,000"," "," "," "," ","3,015"," "," "," "," "
1939,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","120,000"," "," ","120,000"," "," "," "," ","4,050,000"," "," "," "," ","3,375"," "," "," "," "
1939,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","485,000"," "," ","485,000"," "," "," "," ","9,603,000"," "," "," "," ","1,980"," "," "," "," "
1939,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","269,000"," "," ","269,000"," "," "," "," ","6,827,000"," "," "," "," ","2,538"," "," "," "," "
1939,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","171,000"," "," ","171,000"," "," "," "," ","3,848,000"," "," "," "," ","2,250"," "," "," "," "
1940,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","291,000"," "," ","291,000"," "," "," "," ","7,490,000"," "," "," "," ","2,574"," "," "," "," "
1940,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","490,000"," "," ","469,000"," "," "," "," ","8,442,000"," "," "," "," ","1,800"," "," "," "," "
1940,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","118,000"," "," ","118,000"," "," "," "," ","4,248,000"," "," "," "," ","3,600"," "," "," "," "
1940,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","191,000"," "," ","191,000"," "," "," "," ","4,315,000"," "," "," "," ","2,259"," "," "," "," "
1941,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","549,000"," "," ","544,000"," "," "," "," ","9,180,000"," "," "," "," ","1,688"," "," "," "," "
1941,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","347,000"," "," ","305,000"," "," "," "," ","5,215,000"," "," "," "," ","1,710"," "," "," "," "
1941,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","214,000"," "," ","212,000"," "," "," "," ","4,913,000"," "," "," "," ","2,318"," "," "," "," "
1941,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","153,000"," "," ","153,000"," "," "," "," ","3,787,000"," "," "," "," ","2,475"," "," "," "," "
1942,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","392,000"," "," ","370,000"," "," "," "," ","7,160,000"," "," "," "," ","1,935"," "," "," "," "
1942,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","212,000"," "," ","207,000"," "," "," "," ","5,682,000"," "," "," "," ","2,745"," "," "," "," "
1942,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","269,000"," "," ","265,000"," "," "," "," ","5,724,000"," "," "," "," ","2,160"," "," "," "," "
1942,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","617,000"," "," ","615,000"," "," "," "," ","10,516,000"," "," "," "," ","1,710"," "," "," "," "
1943,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","611,000"," "," ","603,000"," "," "," "," ","9,769,000"," "," "," "," ","1,620"," "," "," "," "
1943,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","237,000"," "," ","224,000"," "," "," "," ","6,552,000"," "," "," "," ","2,925"," "," "," "," "
1943,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","400,000"," "," ","388,000"," "," "," "," ","7,508,000"," "," "," "," ","1,935"," "," "," "," "
1943,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","269,000"," "," ","257,000"," "," "," "," ","5,435,000"," "," "," "," ","2,115"," "," "," "," "
1944,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","246,000"," "," ","240,000"," "," "," "," ","6,750,000"," "," "," "," ","2,812"," "," "," "," "
1944,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","568,000"," "," ","561,000"," "," "," "," ","9,593,000"," "," "," "," ","1,710"," "," "," "," "
1944,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","297,000"," "," ","287,000"," "," "," "," ","6,781,000"," "," "," "," ","2,363"," "," "," "," "
1944,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","392,000"," "," ","392,000"," "," "," "," ","7,850,000"," "," "," "," ","2,002"," "," "," "," "
1945,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","400,000"," "," ","400,000"," "," "," "," ","8,100,000"," "," "," "," ","2,025"," "," "," "," "
1945,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","584,000"," "," ","583,000"," "," "," "," ","10,363,000"," "," "," "," ","1,777"," "," "," "," "
1945,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","244,000"," "," ","235,000"," "," "," "," ","6,262,000"," "," "," "," ","2,665"," "," "," "," "
1945,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","284,000"," "," ","281,000"," "," "," "," ","5,943,000"," "," "," "," ","2,115"," "," "," "," "
1946,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","264,000"," "," ","261,000"," "," "," "," ","7,913,000"," "," "," "," ","3,032"," "," "," "," "
1946,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","327,000"," "," ","320,000"," "," "," "," ","6,408,000"," "," "," "," ","2,002"," "," "," "," "
1946,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","412,000"," "," ","412,000"," "," "," "," ","7,972,000"," "," "," "," ","1,935"," "," "," "," "
1946,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","592,000"," "," ","589,000"," "," "," "," ","10,204,000"," "," "," "," ","1,732"," "," "," "," "
1947,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","259,000"," "," ","256,000"," "," "," "," ","8,035,000"," "," "," "," ","3,139"," "," "," "," "
1947,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","370,000"," "," ","365,000"," "," "," "," ","7,652,000"," "," "," "," ","2,096"," "," "," "," "
1947,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","616,000"," "," ","613,000"," "," "," "," ","9,931,000"," "," "," "," ","1,620"," "," "," "," "
1947,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","474,000"," "," ","474,000"," "," "," "," ","9,599,000"," "," "," "," ","2,025"," "," "," "," "
1948,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","526,000"," "," ","526,000"," "," "," "," ","11,007,000"," "," "," "," ","2,092"," "," "," "," "
1948,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","641,000"," "," ","631,000"," "," "," "," ","11,216,000"," "," "," "," ","1,777"," "," "," "," "
1948,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","264,000"," "," ","256,000"," "," "," "," ","6,832,000"," "," "," "," ","2,669"," "," "," "," "
1948,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","395,000"," "," ","391,000"," "," "," "," ","9,220,000"," "," "," "," ","2,358"," "," "," "," "
1949,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","552,000"," "," ","542,000"," ","48,275,000"," "," ","10,704,000"," "," "," "," ","1,975"," "," "," "," "
1949,MISSOURI,29,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4," "," "," "
1949,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," ","1,300"," "," ","1,300"," ","128,000"," "," ","32,000"," "," "," "," ","2,450"," "," "," "," "
1949,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4," "," "," "
1949,MISSISSIPPI,28,"  ","   ",YEAR,RICE," "," "," ","5,000"," "," ","5,000"," ","540,000"," "," ","135,000"," "," "," "," ","2,700"," "," "," "," "
1949,LOUISIANA,22,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.37," "," "," "
1949,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","599,000"," "," ","593,000"," ","47,292,000"," "," ","10,822,000"," "," "," "," ","1,825"," "," "," "," "
1949,CALIFORNIA,06,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",3.42," "," "," "
1949,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","312,000"," "," ","305,000"," ","34,946,000"," "," ","10,218,000"," "," "," "," ","3,350"," "," "," "," "
1949,ARKANSAS,05,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.07," "," "," "
1949,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","415,000"," "," ","412,000"," ","36,052,000"," "," ","8,858,000"," "," "," "," ","2,150"," "," "," "," "
1949,TEXAS,48,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.51," "," "," "
1950,TEXAS,48,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5.46," "," "," "
1950,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","486,000"," "," ","482,000"," ","63,161,000"," "," ","11,568,000"," "," "," "," ","2,400"," "," "," "," "
1950,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," ","1,200"," "," ","1,200"," ","153,000"," "," ","30,000"," "," "," "," ","2,500"," "," "," "," "
1950,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5.2," "," "," "
1950,MISSISSIPPI,28,"  ","   ",YEAR,RICE," "," "," ","7,000"," "," ","7,000"," ","983,000"," "," ","189,000"," "," "," "," ","2,700"," "," "," "," "
1950,LOUISIANA,22,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5.07," "," "," "
1950,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","569,000"," "," ","563,000"," ","55,658,000"," "," ","10,978,000"," "," "," "," ","1,950"," "," "," "," "
1950,CALIFORNIA,06,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.54," "," "," "
1950,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","241,000"," "," ","238,000"," ","37,546,000"," "," ","8,270,000"," "," "," "," ","3,475"," "," "," "," "
1950,ARKANSAS,05,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5.13," "," "," "
1950,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","349,000"," "," ","346,000"," ","39,937,000"," "," ","7,785,000"," "," "," "," ","2,250"," "," "," "," "
1950,MISSOURI,29,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5.1," "," "," "
1951,TEXAS,48,"  ","   ",YEAR,RICE," "," "," ","576,000"," "," ","569,000"," ","65,678,000"," "," ","13,514,000"," "," "," "," ","2,375"," "," "," "," "
1951,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","632,000"," "," ","619,000"," ","54,919,000"," "," ","12,070,000"," "," "," "," ","1,950"," "," "," "," "
1951,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," ","1,400"," "," ","1,400"," ","176,000"," "," ","36,000"," "," "," "," ","2,575"," "," "," "," "
1951,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.8," "," "," "
1951,MISSISSIPPI,28,"  ","   ",YEAR,RICE," "," "," ","28,000"," "," ","26,000"," ","3,058,000"," "," ","637,000"," "," "," "," ","2,450"," "," "," "," "
1951,LOUISIANA,22,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.55," "," "," "
1951,TEXAS,48,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.86," "," "," "
1951,CALIFORNIA,06,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.95," "," "," "
1951,CALIFORNIA,06,"  ","   ",YEAR,RICE," "," "," ","330,000"," "," ","324,000"," ","52,925,000"," "," ","10,692,000"," "," "," "," ","3,300"," "," "," "," "
1951,ARKANSAS,05,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.98," "," "," "
1951,ARKANSAS,05,"  ","   ",YEAR,RICE," "," "," ","464,000"," "," ","457,000"," ","45,517,000"," "," ","9,140,000"," "," "," "," ","2,000"," "," "," "," "
1951,MISSOURI,29,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",4.9," "," "," "
1952,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," ","605,000"," "," ","600,000"," ","67,190,000"," "," ","12,150,000"," "," "," "," ","2,025"," "," "," "," "
1952,TEXAS,48,"  ","   ","MARKETING YEAR",RICE," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5.88," "," "," "
1952,MISSOURI,29,"  ","   ",YEAR,RICE," "," "," ","2,000"," "," ","2,000"," ","284,000"," "," ","49,000"," "," "," "," ","2,450"," "," "," "," "
